"seqnames"	"start"	"end"	"width"	"strand"	"peak"	"feature"	"start_position"	"end_position"	"feature_strand"	"insideFeature"	"distancetoFeature"	"shortestDistance"	"fromOverlappingOrNearest"
"chr1"	915763	915819	57	"*"	"0001"	"ENSG00000187642"	910584	917473	"-"	"inside"	1682	1654	"shortestDistance"
"chr1"	1111034	1111534	501	"*"	"0002"	"ENSG00000162571"	1109283	1133315	"+"	"inside"	2001	1751	"shortestDistance"
"chr1"	1888904	1889643	740	"*"	"0003"	"ENSG00000142609"	1853390	1935276	"-"	"inside"	46002	35514	"shortestDistance"
"chr1"	1906179	1906480	302	"*"	"0004"	"ENSG00000142609"	1853390	1935276	"-"	"inside"	28946	28796	"shortestDistance"
"chr1"	1992895	1993460	566	"*"	"0005"	"ENSG00000226969"	1980743	1981509	"-"	"upstream"	-11669	11386	"shortestDistance"
"chr1"	2004804	2004858	55	"*"	"0006"	"ENSG00000067606"	2004901	2116829	"+"	"upstream"	-70	43	"shortestDistance"
"chr1"	2069124	2069303	180	"*"	"0007"	"ENSG00000067606"	2004901	2116829	"+"	"inside"	64313	47526	"shortestDistance"
"chr1"	2091873	2092171	299	"*"	"0008"	"ENSG00000067606"	2004901	2116829	"+"	"inside"	87121	24658	"shortestDistance"
"chr1"	2843244	2843693	450	"*"	"0009"	"ENSG00000284745"	2877223	2879980	"-"	"downstream"	36512	33530	"shortestDistance"
"chr1"	3305338	3305755	418	"*"	"0010"	"ENSG00000142611"	2985732	3350906	"+"	"inside"	319814	45151	"shortestDistance"
"chr1"	3321301	3321819	519	"*"	"0011"	"ENSG00000142611"	2985732	3350906	"+"	"inside"	335828	29087	"shortestDistance"
"chr1"	3459571	3460418	848	"*"	"0012"	"ENSG00000162591"	3404515	3528072	"-"	"inside"	68078	55056	"shortestDistance"
"chr1"	3533455	3534008	554	"*"	"0013"	"ENSG00000162591"	3404515	3528072	"-"	"upstream"	-5660	5383	"shortestDistance"
"chr1"	5772270	5772607	338	"*"	"0014"	"ENSG00000236948"	5621769	5728315	"-"	"upstream"	-44123	43955	"shortestDistance"
"chr1"	5888006	5888366	361	"*"	"0015"	"ENSG00000216045"	5875931	5876019	"-"	"upstream"	-12167	11987	"shortestDistance"
"chr1"	5895061	5895368	308	"*"	"0016"	"ENSG00000216045"	5875931	5876019	"-"	"upstream"	-19195	19042	"shortestDistance"
"chr1"	6172555	6172829	275	"*"	"0017"	"ENSG00000116254"	6161847	6240381	"-"	"inside"	67689	10708	"shortestDistance"
"chr1"	6302831	6302850	20	"*"	"0018"	"ENSG00000173673"	6304252	6305638	"+"	"upstream"	-1412	1402	"shortestDistance"
"chr1"	6476726	6477065	340	"*"	"0019"	"ENSG00000069812"	6472478	6484730	"-"	"inside"	7834	4248	"shortestDistance"
"chr1"	7080898	7081155	258	"*"	"0020"	"ENSG00000171735"	6845514	7829766	"+"	"inside"	235512	235384	"shortestDistance"
"chr1"	8389729	8390050	322	"*"	"0021"	"ENSG00000162426"	8377886	8404225	"+"	"inside"	12004	11843	"shortestDistance"
"chr1"	8390456	8390675	220	"*"	"0022"	"ENSG00000162426"	8377886	8404225	"+"	"inside"	12680	12570	"shortestDistance"
"chr1"	9100829	9101232	404	"*"	"0023"	"ENSG00000142583"	9095166	9129775	"-"	"inside"	28745	5663	"shortestDistance"
"chr1"	9165263	9165917	655	"*"	"0024"	"ENSG00000180758"	9160364	9189161	"-"	"inside"	23571	4899	"shortestDistance"
"chr1"	9332149	9332346	198	"*"	"0025"	"ENSG00000049239"	9294834	9331396	"+"	"downstream"	37414	753	"shortestDistance"
"chr1"	9366384	9366501	118	"*"	"0026"	"ENSG00000171621"	9352953	9429591	"+"	"inside"	13489	13431	"shortestDistance"
"chr1"	9460616	9461107	492	"*"	"0027"	"ENSG00000284652"	9481157	9482921	"-"	"downstream"	22059	20050	"shortestDistance"
"chr1"	10966777	10967231	455	"*"	"0028"	"ENSG00000225158"	10955818	10956055	"+"	"downstream"	11186	10722	"shortestDistance"
"chr1"	11774415	11774799	385	"*"	"0029"	"ENSG00000162490"	11751767	11785914	"+"	"inside"	22840	11115	"shortestDistance"
"chr1"	13910768	13911133	366	"*"	"0030"	"ENSG00000162493"	13909960	13944452	"+"	"inside"	990	808	"shortestDistance"
"chr1"	15441419	15441630	212	"*"	"0031"	"ENSG00000175147"	15438311	15478960	"-"	"inside"	37436	3108	"shortestDistance"
"chr1"	17412713	17413106	394	"*"	"0032"	"ENSG00000117115"	17393256	17445946	"-"	"inside"	33036	19457	"shortestDistance"
"chr1"	17489897	17490163	267	"*"	"0033"	"ENSG00000252180"	17484692	17484779	"+"	"downstream"	5338	5118	"shortestDistance"
"chr1"	17566929	17567193	265	"*"	"0034"	"ENSG00000142623"	17531623	17572502	"+"	"inside"	35438	5309	"shortestDistance"
"chr1"	18619199	18619571	373	"*"	"0035"	"ENSG00000117154"	18434292	18704977	"+"	"inside"	185093	85406	"shortestDistance"
"chr1"	22536654	22537353	700	"*"	"0036"	"ENSG00000285873"	22469343	22483894	"+"	"downstream"	67661	52760	"shortestDistance"
"chr1"	22919537	22919885	349	"*"	"0037"	"ENSG00000070886"	22889982	22930088	"+"	"inside"	29729	10203	"shortestDistance"
"chr1"	23946571	23947118	548	"*"	"0038"	"ENSG00000197880"	23907985	23967058	"+"	"inside"	38859	19940	"shortestDistance"
"chr1"	24383646	24384006	361	"*"	"0039"	"ENSG00000142661"	24382525	24393069	"-"	"inside"	9243	1121	"shortestDistance"
"chr1"	24413135	24413431	297	"*"	"0040"	"ENSG00000225315"	24367325	24413289	"+"	"overlapEnd"	45958	142	"shortestDistance"
"chr1"	24496025	24496318	294	"*"	"0041"	"ENSG00000185436"	24480658	24513779	"-"	"inside"	17607	15367	"shortestDistance"
"chr1"	24906641	24906998	358	"*"	"0042"	"ENSG00000184454"	24882578	24935819	"+"	"inside"	24242	24063	"shortestDistance"
"chr1"	25296941	25297611	671	"*"	"0043"	"ENSG00000261025"	25294914	25297356	"-"	"overlapStart"	80	255	"shortestDistance"
"chr1"	29641788	29642036	249	"*"	"0044"	"ENSG00000060656"	29563028	29652173	"+"	"inside"	78884	10137	"shortestDistance"
"chr1"	31711598	31712287	690	"*"	"0045"	"ENSG00000084628"	31652592	31712734	"-"	"inside"	792	447	"shortestDistance"
"chr1"	33754614	33755012	399	"*"	"0046"	"ENSG00000160094"	33722093	33766320	"+"	"inside"	32720	11308	"shortestDistance"
"chr1"	37025874	37026210	337	"*"	"0047"	"ENSG00000230214"	37095936	37096458	"+"	"upstream"	-69894	69726	"shortestDistance"
"chr1"	37175276	37175640	365	"*"	"0048"	"ENSG00000284705"	37169554	37176183	"+"	"inside"	5904	543	"shortestDistance"
"chr1"	37908100	37908389	290	"*"	"0049"	"ENSG00000233621"	37816535	37939987	"-"	"inside"	31743	31598	"shortestDistance"
"chr1"	38583443	38583794	352	"*"	"0050"	"ENSG00000224592"	38513097	38584697	"+"	"inside"	70521	903	"shortestDistance"
"chr1"	40193379	40193674	296	"*"	"0051"	"ENSG00000252413"	40189238	40189299	"-"	"upstream"	-4227	4080	"shortestDistance"
"chr1"	40236841	40237521	681	"*"	"0052"	"ENSG00000198754"	40235195	40237020	"-"	"overlapStart"	-161	179	"shortestDistance"
"chr1"	40387823	40388176	354	"*"	"0053"	"ENSG00000116990"	40361098	40367685	"-"	"upstream"	-20315	20138	"shortestDistance"
"chr1"	42506108	42506816	709	"*"	"0054"	"ENSG00000227538"	42506268	42507400	"+"	"overlapStart"	194	160	"shortestDistance"
"chr1"	44062715	44063136	422	"*"	"0055"	"ENSG00000142949"	43996547	44044956	"+"	"downstream"	66379	17759	"shortestDistance"
"chr1"	44595657	44596021	365	"*"	"0056"	"ENSG00000171872"	44584522	44600812	"+"	"inside"	11317	4791	"shortestDistance"
"chr1"	44882710	44883126	417	"*"	"0057"	"ENSG00000187147"	44870866	45117395	"+"	"inside"	12052	11844	"shortestDistance"
"chr1"	52375378	52375613	236	"*"	"0058"	"ENSG00000169213"	52373628	52456372	"-"	"inside"	80876	1750	"shortestDistance"
"chr1"	53588840	53589188	349	"*"	"0059"	"ENSG00000162383"	53552851	53608276	"-"	"inside"	19262	19088	"shortestDistance"
"chr1"	57111372	57111718	347	"*"	"0060"	"ENSG00000162409"	57110987	57181008	"+"	"inside"	558	385	"shortestDistance"
"chr1"	59672104	59672462	359	"*"	"0061"	"ENSG00000224609"	59597608	59612547	"-"	"upstream"	-59736	59557	"shortestDistance"
"chr1"	68627709	68628005	297	"*"	"0062"	"ENSG00000234383"	68627444	68628773	"-"	"inside"	916	265	"shortestDistance"
"chr1"	68760314	68760629	316	"*"	"0063"	"ENSG00000225242"	68748071	68748305	"+"	"downstream"	12401	12009	"shortestDistance"
"chr1"	77748179	77748206	28	"*"	"0064"	"ENSG00000154027"	77747704	78025651	"+"	"inside"	488	475	"shortestDistance"
"chr1"	85513684	85514376	693	"*"	"0065"	"ENSG00000055732"	85483765	85514183	"-"	"overlapStart"	153	193	"shortestDistance"
"chr1"	87018146	87018797	652	"*"	"0066"	"ENSG00000224466"	87018308	87019025	"-"	"overlapEnd"	553	162	"shortestDistance"
"chr1"	94495773	94496111	339	"*"	"0067"	"ENSG00000198691"	94458390	94586704	"-"	"inside"	90762	37383	"shortestDistance"
"chr1"	101004462	101004898	437	"*"	"0068"	"ENSG00000181656"	101003695	101007577	"+"	"inside"	985	767	"shortestDistance"
"chr1"	108664294	108664910	617	"*"	"0069"	"ENSG00000085491"	108676665	108742965	"-"	"downstream"	78363	11755	"shortestDistance"
"chr1"	111148724	111148980	257	"*"	"0070"	"ENSG00000177301"	111136202	111148980	"-"	"inside"	128	0	"shortestDistance"
"chr1"	113013494	113013794	301	"*"	"0071"	"ENSG00000134245"	113009163	113063905	"+"	"inside"	4481	4331	"shortestDistance"
"chr1"	115396899	115397489	591	"*"	"0072"	"ENSG00000198765"	115397484	115537991	"+"	"overlapStart"	-290	5	"shortestDistance"
"chr1"	121260787	121261487	701	"*"	"0073"	"ENSG00000231752"	121260910	121313690	"+"	"overlapStart"	227	123	"shortestDistance"
